x_image	y_image	clusters	TABULA_MURIS_SENIS_BRAIN_MYELOID_MICROGLIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ASTROCYTE_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ENDOTHELIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_NEURON_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_AGEING
10897	15142	8	0	100	0	100	100
8568	9591	14	0	100	0	100	100
21483	11341	7	0	0	0	0	0
9437	8580	8	0	100	0	100	100
21341	14118	15	100	0	100	100	98.462
9581	7823	0	0	100	0	100	100
14814	15389	10	100	0	100	100	100
20031	10333	2	100	0	100	100	100
22795	16136	9	0.048	98.404	0.048	98.452	98.453
12776	10343	3	0.776	99.224	0.776	100	100
17857	12608	11	100	0	100	100	100
20181	14120	13	100	0	100	100	100
18011	19424	5	0	100	0	100	100
12341	10091	3	11.111	88.879	11.111	99.989	99.989
17858	13113	11	100	0	100	100	100
11325	9840	6	100	0	100	100	100
18146	11093	2	100	0	100	100	100
18877	15384	12	100	0	100	100	100
19024	17151	10	0	100	0	100	100
11617	11354	3	99.869	0.13	99.869	99.999	99.999
16848	17406	10	0	100	0	100	100
8857	8581	14	0	100	0	100	100
18154	17657	10	0	11.111	0	11.111	11.111
12491	13878	6	100	0	100	100	100
14663	10593	3	99.997	0	99.997	99.997	99.997
22794	15126	9	0	98.014	0	98.014	98.014
14238	18419	8	0	100	0	100	100
9729	9590	0	0	80	0	80	80
14081	9584	16	0	0	0	0	0
12490	12868	3	1.375	87.667	1.375	89.042	89.042
17577	20182	4	0	100	0	100	100
9296	11862	4	0	100	0	100	100
16987	12609	11	100	0	100	100	100
16120	15135	6	100	0	100	100	100
21783	18914	1	0	100	0	100	100
23379	19165	1	0	100	0	100	100
21638	19167	1	0	100	0	100	100
20181	14625	12	100	0	100	100	100
20904	12352	7	100	0	100	100	100
12776	9838	3	80.046	19.932	80.046	99.98	99.978
14371	9583	16	0	0	0	0	0
9593	16911	15	0	0	100	100	0
9442	12619	4	0	100	0	100	100
13223	19178	4	0	100	0	100	100
21926	17652	1	0.451	46.257	0.451	46.618	46.618
23080	12096	7	100	0	100	100	100
16550	11348	2	100	0	100	100	100
17136	15891	12	100	0	100	100	0.049
18724	9578	2	100	0	100	100	100
14090	16147	5	20	0	20	20	20
18585	14374	12	100	0	100	100	100
11764	13121	0	0	0	0	0	0
12202	14888	0	0	33.333	0	33.333	33.333
18731	14627	12	100	0	100	100	100
20189	20179	1	0	100	0	100	100
10020	10599	0	0	80	0	80	80
19312	15131	12	100	0	100	100	100
15541	16146	10	0.098	99.902	0.098	100	100
14523	14380	6	0	0	0	0	0
14965	19681	4	0	100	0	100	100
13503	11099	3	0	0	0	0	0
20033	11848	2	100	0	100	100	100
20468	12100	7	100	0	100	100	100
21193	11847	7	0	0	0	0	0
16707	20688	15	0	0	100	100	0
17863	16647	10	0.001	88.888	0.001	88.889	88.889
14085	12613	6	100	0	100	100	100
19308	12606	11	100	0	100	100	100
22509	19166	1	0	100	0	100	100
11035	10345	0	100	0	100	100	100
13803	18672	8	0	100	0	100	100
13216	13624	6	11.111	0	11.111	11.111	11.111
20755	9575	7	100	0	100	100	100
10018	9084	0	0	0	0	0	0
14666	13117	6	100	0	100	100	100
17137	16396	10	100	0	100	100	100
10454	9841	0	0	0	0	0	0
14960	16146	10	3.053	96.947	3.053	100	100
11326	10345	6	99.951	0	99.951	99.951	99.951
18882	19423	5	0	0	0	0	0
17861	15638	12	100	0	100	100	100
13794	11604	3	0	0	0	0	0
23513	10329	7	0	0	0	0	0
10606	15142	8	0	100	0	100	100
9150	10600	4	0	100	0	100	100
17287	20182	4	0	100	0	100	100
21929	19671	1	0	0	0	0	0
12774	8828	3	100	100	100	100	100
11907	11354	3	100	100	100	100	100
12196	10344	3	49.23	49.23	49.23	98.46	98.46
9006	11863	4	0	100	0	100	100
12051	10091	3	0.583	99.417	0.583	100	100
14373	10593	16	0	0	0	0	0
14089	15643	6	100	0	100	100	0.024
13508	15138	6	100	0	100	100	100
20466	10080	2	100	0	100	100	100
21343	15633	9	66.148	0.517	66.148	66.663	66.667
19168	16393	10	83.169	4.39	21.235	20.722	21.239
18881	18918	5	0	99.988	0	99.988	99.988
15687	17408	5	0	0.003	0	0.003	0.003
19891	14120	13	100	0	100	100	100
16264	14882	6	100	0	100	100	100
13511	17663	0	0	94.118	0	94.118	94.118
11622	14888	0	0	99.224	0	99.224	99.224
20906	13866	13	100	0	100	100	100
22648	14874	9	0.003	5.924	0.003	5.927	5.927
11913	15898	8	0	100	0	100	100
13656	17410	0	0	100	0	100	100
9582	8328	8	0	100	0	100	100
17998	9326	2	100	0	100	100	100
10316	15143	4	0	100	0	100	100
22643	10835	7	100	0	100	100	100
13076	17411	8	0	100	0	100	100
12486	10343	3	100	0	100	100	100
11766	14636	0	0	0	0	0	0
14669	15137	10	99.988	0.012	99.988	100	100
20476	17654	1	0.008	66.661	0.008	66.661	66.669
18435	10588	2	0.001	0	0.001	47.06	0.001
16118	13620	12	100	0	100	100	100
17282	16648	10	99.998	0.002	99.998	100	99.225
21057	18158	1	0	100	0	100	100
15536	12611	2	100	0	100	100	100
20319	9323	2	100	0	100	100	100
22644	11845	7	99.976	0	99.976	99.976	99.976
14810	12360	2	100	0	100	100	100
16702	16649	10	0	100	0	100	100
14088	14633	10	0	0	0	0	0
23226	12854	15	0	0	0	0	0
18737	19171	5	0	100	0	100	100
18013	20434	14	0	100	0	100	100
18434	10083	2	100	0	100	100	100
17564	10084	2	99.999	0	99.999	100	99.999
22074	19924	1	0	100	0	100	100
21485	13361	13	100	0	100	100	100
8423	9844	14	0	100	0	100	100
13509	15643	5	99.605	0.389	99.605	99.994	99.994
15532	9582	7	0.006	0	0.006	0.006	0.006
13792	10594	3	5.556	5.556	5.556	11.111	11.111
14815	15894	10	0	100	0	100	100
16701	15639	6	100	0	100	100	0.195
14818	17914	5	0	0	0	0	0
17865	18667	5	0	88.811	0	88.811	88.811
22796	16641	1	0.061	49.96	0.061	50.009	50.009
9586	11357	8	0	100	0	100	100
11624	16908	4	0	100	0	100	100
19748	15888	9	3.03	0	3.03	3.03	3.03
20472	15129	9	81.364	4.686	81.364	81.4	81.4
12349	16655	8	0	100	0	100	100
15535	12106	2	100	0	100	100	100
16557	16902	10	0	100	0	100	100
21920	13108	15	100	0	100	100	100
14094	19682	14	0	100	0	100	100
12929	16149	5	0	0	0	0	0
10595	6559	0	0	99.805	0	99.805	99.805
19458	16393	9	5.882	5.881	5.882	5.882	5.884
13936	9836	16	0	0	0	0	0
20766	17653	1	0.011	93.418	0.011	93.43	93.43
10897	15647	8	0	100	0	100	100
9007	12367	4	0	100	0	100	100
23523	17902	1	0	100	0	100	100
21192	10837	7	100	0	100	100	100
12642	18674	4	0	100	0	100	100
17722	19929	4	0	100	0	100	100
17866	19172	5	0	94.009	0	94.009	94.009
12345	13625	6	100	0	100	100	100
21780	16390	1	0.049	0.049	0.049	0.049	0.049
15690	19427	8	0	100	0	100	100
19599	13111	11	100	0	100	100	100
11474	12617	0	0	0	0	0	0
12787	18421	4	0	100	0	100	100
21784	19419	1	0	100	0	100	100
20179	12605	13	100	0	100	100	100
17574	17658	10	0	100	0	100	100
21057	18663	1	0	99.756	0	99.756	99.756
12786	17916	8	0	100	0	100	100
10750	13880	8	0	100	0	100	100
21341	13613	13	100	0	100	100	100
16559	17911	5	0	0	0	0	0
10306	7569	0	0.001	96.969	0.001	96.97	96.97
9727	8075	0	0	100	0	100	100
17420	11347	2	10.553	0	10.553	94.651	10.553
15541	16650	10	0	100	0	100	100
12050	9587	3	100	99.999	100	100	100
11040	13879	0	0	100	0	100	100
16562	20436	4	0	100	0	100	100
17430	18415	5	0	99.975	0	99.975	99.975
16124	18669	5	0	100	0	100	100
21336	10079	7	100	0	100	100	100
9581	7318	0	0	100	0	100	100
21930	20176	1	0	100	0	100	100
8714	10348	4	0	100	0	100	100
12921	10090	3	0	100	0	100	100
22069	15885	9	16.037	63.705	16.037	71.655	79.618
14963	18166	5	0	99.951	0	99.951	99.951
22646	13359	15	0	0	0	0	0
23084	15126	9	0	0	0	0	0
12494	16402	0	0	98.462	0	98.462	98.462
10754	16909	14	0	100	0	100	100
16703	17659	10	97.015	2.985	97.015	100	100
17723	20434	14	0	100	0	100	100
22507	18156	1	0	100	0	100	100
11915	16908	8	0	100	0	100	100
22653	18913	1	0	94.118	0	94.118	94.118
22800	19670	1	0	100	0	100	100
23517	13863	9	0.195	0	99.999	99.999	0.195
15968	9834	7	99.997	0	99.997	99.997	99.997
18144	10083	2	99.219	0	99.219	99.222	99.219
10749	13375	0	0	0.195	0	0.195	0.195
14816	16904	5	0	100	0	100	100
15099	11350	2	100	0	100	100	100
21195	12856	13	100	0	100	100	100
18871	11345	2	100	0	100	100	100
15974	14883	6	100	0	100	100	100
22642	10330	7	99.611	0	99.611	99.611	99.611
20479	20178	1	0	99.997	0	99.997	99.997
11032	7821	0	0	0	0	0	0
18010	18414	5	0	99.791	0	99.791	99.791
22502	14117	9	0	99.999	0	99.999	99.999
